Airport,Wifi information
Heathrow Airport,40 minutes free wifi; lockouts MAC address based. Here's how to extend your wireless access indefinitely: http://foxnomad.com/2014/05/22/unlock-unlimited-wifi-airports-time-restrictions/
Helsinki Airport,Free wireless.
Henri Coand_ International Airport,Free wifi
Honolulu International Airport,Delta Sky Club password: deltaone
HRE,Network name: ZolSecure ; available throughout most of the airport<br>(uses WPA2 Enterprise security with 802.1x authentication)<br><br>Identity (Username): saalounge[at]zol.co.zw<br>Anonymous identity: [leave this field blank]<br>Password: s786hab@
Incheon International Airport,Free wifi; network name: AirportWiFi
Indianapolis International Airport,Delta Sky Club password: firstclass
Istanbul Ataturk Airport,"Several passwords.1.Toss Cafe Anyway, the password for their wifi is atahava2012 -- 2. Next to the food court downstairs, to the right: network name: palmiyeturizm password: phone-card -- 3. Upstairs by the Food Court, network name: PrimeClass_Lounge password: Lounge2015 -- The Eat & Go by Gates 501-504 network name: ""Eat&Go 500BG"" password: istanbul4 -- HSBC Premier Lounge, network name: BTA_Guest username: BTA9 password: STARWARS -- Both In front of Skyteam Lounge:<br>Network: eatandgo. Password: istanbul1<br>Network: eatandGo2. Password: istanbul2"
Jacksonville International Airport,Delta Sky Club password: firstclass
Jerez Airport,Free wifi; network: Kubi
John F. Kennedy International Airport,Wingtip Lounge password: WiNgtip$
John F. Kennedy International Airport,Delta Sky Club password: firstclass
Jomo Kenyatta International Airport,Turkish Airlines Lounge; password: primeclass2016
Jorge Chavez International Airport,Free wifi for customers at the Starbucks on the second floor.
Jorge Wilsterman Airport,Free wifi; network name: ENTEL-CBBA
KL International Airport,Free wifi; 3 hour time limit.
KL International Airport,Emirates Lounge<br>Network name: Emirates_Lounge<br>Password: abcde12345
La Aurora International Airport (GUA),Outside of Airport Lounge Coffee Shop; wifi passwords - Airport Lounge 1: c56fd97a30<br>Airport Lounge 2: c56fd97a32
La Chinita International Airport,Free wireless but terrible signal.
LaGuardia Airport,Delta Sky Club password: firstclass
Leonardo da Vinci International Airport,Network Name: AIRPORT FREE WIFIÊ -- Alitalia Lounge: Network Name: Casa Alitalia Lounge; no password required -- Avia Lounge Network Name: Aviapartner ; password: Aviapartner01
LGKR,Free wifi; network name: Civil_Aviation7
Ljubljana Jo_e Pu_nik Airport,Free wireless throughout airport.
Los Angeles International Airport,Delta Sky Club password: deltaone
Los Angeles International Airport,Oneworld Lounge; network: oneworld -- password: oneworld -- Skyteam Lounge; network name: Skyteam; no password required
Louis Armstrong New Orleans International Airport,Delta Sky Club password: firstclass
Luxembourg Airport,Free wifi
Mactan-Cebu International Airport,"BoÕs Coffee at the Mactan-Cebu Airport, Philippines: ashmugcup560"
Madrid-Barajas Airport,"Terminals 1, 2, 3, select areas of T4 and boarding areas. Airport_Free_Wifi_AENA; free wifi -- Iberia Lounge password: berlin"
Mart’n Miguel de GŸemes International Airport,Free wifi; network name: AA2000-Personal
Melbourne Airport,Emirates Lounge<br>Network name: Emiratesmelbourne<br>Password: F@RSTCL@55
Memphis International Airport,Delta Sky Club password: firstclass
Mexico City International Airport,Amex Centurion Club; network: Infintium; password: salacenturion1
Miami International Airport,Delta Sky Club password: firstclass
Miami International Airport,American Airlines Lounge password: HAVANA2016
Minneapolis_Saint Paul International Airport,Delta Sky Club password: firstclass
MontrŽal-Pierre Elliott Trudeau International Airport,Maple Lounge: Network name: VIP password: montreal
Nashville International Airport,Delta Sky Club password: deltaone
Newark Liberty International Airport,Delta Sky Club password: firstclass
Newark Liberty International Airport,ipad resturants: Network name: OTG-IPhone password: CELLPHONE
Ngurah Rai International Airport,Restaurant Manda; password: lovebali
Ninoy Aquino International Airport,"Terminal 3: Go upstairs to left, follow all the way to end. At the food court there is wifi. If you buy a coffee they'll give you a password if you ask."
O'Hare International Airport,Delta Sky Club password: firstclass
Orlando International Airport,Delta Sky Club password: firstclass
Oslo Airport,Two hours free wifi; unlimited for all with a .edu or eduroam email address.
Oulu Airport,Free wireless.
Palm Beach International Airport,Delta Sky Club password: firstclass
Philadelphia International Airport,Delta Sky Club password: firstclass
Pittsburgh International Airport,Free wifi; network name: Fly Pittsburgh
Portland International Airport,Delta Sky Club password: firstclass
Prince Mohammed Bin Abdulaziz International Airport,"Free open WiFi, available throughout the airport.<br>Network name: TIBAHAIRPORTS"
Princess Juliana International Airport,"Free wifi in arrivals and departures only, not beyond security check. Network name: SXM AIRPORT FREE WIFI"
Raleigh-Durham International Airport,Delta Sky Club password: firstclass
Reykjav’k Airport,Free wifi
Riga International Airport,Free wifi; network name: Connect IT Wi-Fi
Ronald Reagan Washington National Airport,Delta Sky Club password: firstclass
Salt Lake City International Airport,Delta Sky Club password: firstclass
San Carlos de Bariloche Airport,Free wifi; network name: AA2000-Personal
San Diego International Airport,Delta Sky Club password: firstclass
San Francisco International Airport,Air France/KLM Lounge; network name: AIRFRANCEKLMLOUNGE password: LOUNGEAFKL2016
Sao Paulo International Airport,Air France Business Lounge: Network name: villa gru<br>Password: grulounge
Sao Paulo International Airport,American Airlines Lounge password: AUCKLAND2016
Seattle-Tacoma International Airport,Delta Sky Club password: firstclass
Seville,Free wifi; network: Kubi
Shanghai Pudong International Airport,SSID: #AirportPVG-WIFI<br>Username: 576518<br>Password: 3852
Sim—n Bol’var International Airport of Maiquetia,Wifi Network: WIFIAEROPUERTO Password: WIFIAEROPUERTO
Skopje Alexander the Great Airport,T-Com Hotspot; free wifi
Sofia International Airport,Free wireless throughout airport. Signal strongest on upper level. Network name: Sofia Airport Public
Stansted Airport,Free wifi; 60 minute limit.
Stockholm Arlanda Airport,Free wireless throughout airport.
Surat Thani International Airport,"Cafe right next to the entrance, password: 12345678"
Suvarnabhumi Airport,Bangkok Thai Lounge: network name: THAINETWORK_SILK (D) Username: tglounge Password: tglounge
Sydney Airport,SkyTeam Lounge near Gate 24; password: skyteam2015Ê -- Emirates Lounge_: network name: EK Lounges password: DXB-Lounge
Tampa International Airport,Delta Sky Club password: firstclass
Tbilisi Airport,Free wifi; network name: Tbilisi Loves You -- Primeclass Lounge; password: primeclass2016
Tocumen International Airport,Two hours free wifi.
Toulouse-Blagnac Airport,Free wifil network name: wifi-airport (no time limit).
V‡clav Havel Airport Prague,Free wifi; network name: prg.aero-free
Vienna International Airport,Free wireless; no password required throughout entire airport.
Warsaw Modlin Airport,Free wifi
Wellington Airport,Free wifi
Zagreb Airport,15 minutes free wireless.
Zurich Airport,Free wifi but you must get access code from information desk (unless you have a mobile number to get via text). Network name: ZurichAirport
